"name","region","country","lat","lon","tz_id","localtime_epoch","localtime","time","temp_c","temp_f","condition_text","condition_icon","wind_mph","wind_kph","wind_degree","wind_dir","pressure_mb","pressure_in","precip_mm","precip_in","snow_cm","humidity","cloud","feelslike_c","feelslike_f","windchill_c","windchill_f","heatindex_c","heatindex_f","dewpoint_c","dewpoint_f","will_it_rain","chance_of_rain","will_it_snow","chance_of_snow","vis_km","vis_miles","gust_mph","gust_kph","uv"
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 23:00",19.9,67.8,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.0,3.2,60,ENE,1008.0,29.76,0.0,0.0,0.0,22,0,19.9,67.8,19.9,67.8,19.9,67.8,-2.6,27.3,0,0,0,0,10.0,6.0,4.2,6.8,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 22:00",20.5,68.9,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,57,ENE,1008.0,29.77,0.0,0.0,0.0,22,0,20.5,68.8,20.5,68.8,20.5,68.8,-2.1,28.3,0,0,0,0,10.0,6.0,4.7,7.6,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 21:00",21.4,70.6,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.0,3.2,41,NE,1008.0,29.77,0.0,0.0,0.0,22,0,21.5,70.6,21.5,70.6,22.1,71.7,-1.4,29.6,0,0,0,0,10.0,6.0,4.2,6.8,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 20:00",22.7,72.9,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1.1,1.8,17,NNE,1008.0,29.76,0.0,0.0,0.0,22,0,22.7,72.8,22.7,72.9,22.7,72.8,-0.1,31.9,0,0,0,0,10.0,6.0,2.3,3.8,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 19:00",23.3,74.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,0.7,1.1,227,SW,1007.0,29.74,0.0,0.0,0.0,22,0,23.1,73.5,23.3,74.0,23.1,73.5,0.7,33.2,0,0,0,0,10.0,6.0,1.4,2.3,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 18:00",24.6,76.2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.2,3.6,207,SSW,1006.0,29.7,0.0,0.0,0.0,22,0,23.7,74.6,24.6,76.2,23.7,74.6,1.3,34.3,0,0,0,0,10.0,6.0,4.7,7.6,6.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 17:00",28.6,83.5,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.1,8.3,215,SW,1004.0,29.66,0.0,0.0,0.0,19,0,26.5,79.7,28.6,83.5,26.5,79.7,2.9,37.2,0,0,0,0,10.0,6.0,7.2,11.7,7.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 16:00",30.5,86.9,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.8,12.6,223,SW,1004.0,29.64,0.0,0.0,0.0,15,0,28.3,82.9,30.5,86.9,28.3,82.9,1.2,34.2,0,0,0,0,10.0,6.0,9.0,14.5,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 15:00",31.3,88.4,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.9,14.4,219,SW,1003.0,29.62,0.0,0.0,0.0,15,0,29.1,84.4,31.3,88.4,29.1,84.4,2.0,35.5,0,0,0,0,10.0,6.0,10.3,16.6,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 14:00",31.8,89.3,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.6,15.5,213,SSW,1003.0,29.63,0.0,0.0,0.0,15,0,29.6,85.3,31.8,89.3,29.6,85.3,2.2,36.0,0,0,0,0,10.0,6.0,11.1,17.8,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 13:00",32.1,89.8,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.8,15.8,211,SSW,1004.0,29.65,0.0,0.0,0.0,15,0,29.9,85.8,32.1,89.8,29.9,85.8,1.9,35.5,0,0,0,0,10.0,6.0,11.3,18.2,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 12:00",32.1,89.8,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.6,12.2,211,SSW,1005.0,29.67,0.0,0.0,0.0,14,0,29.9,85.8,32.1,89.8,29.9,85.8,1.2,34.1,0,0,0,0,10.0,6.0,8.7,14.1,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 11:00",31.6,88.9,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.6,9.0,206,SSW,1006.0,29.69,0.0,0.0,0.0,14,0,29.4,84.9,31.6,88.9,29.4,84.9,0.6,33.1,0,0,0,0,10.0,6.0,6.4,10.4,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 10:00",31.0,87.9,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,4.3,6.8,190,S,1006.0,29.71,0.0,0.0,0.0,14,0,28.8,83.8,31.1,87.9,28.8,83.8,0.6,33.0,0,0,0,0,10.0,6.0,4.9,7.9,8.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 09:00",29.9,85.9,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.8,6.1,167,SSE,1007.0,29.73,0.0,0.0,0.0,15,0,27.7,81.9,30.0,85.9,27.7,81.9,0.9,33.5,0,0,0,0,10.0,6.0,4.4,7.1,7.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 08:00",28.1,82.6,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.8,6.1,141,SE,1007.0,29.72,0.0,0.0,0.0,18,0,26.1,79.0,28.1,82.6,26.1,79.0,1.4,34.6,0,0,0,0,10.0,6.0,4.4,7.1,7.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 07:00",25.7,78.3,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.6,5.8,109,ESE,1006.0,29.71,0.0,0.0,0.0,22,0,24.4,76.0,25.7,78.3,24.4,76.0,2.2,36.0,0,0,0,0,10.0,6.0,4.1,6.6,7.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 06:00",21.7,71.1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.4,5.4,79,E,1006.0,29.72,0.0,0.0,0.0,29,0,21.7,71.1,21.7,71.1,23.1,73.5,3.0,37.3,0,0,0,0,10.0,6.0,6.5,10.4,6.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 05:00",19.0,66.1,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.0,6.5,72,ENE,1006.0,29.71,0.0,0.0,0.0,30,0,19.0,66.1,19.0,66.1,19.0,66.1,0.9,33.6,0,0,0,0,10.0,6.0,8.5,13.6,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 04:00",19.2,66.5,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.8,6.1,68,ENE,1005.0,29.69,0.0,0.0,0.0,29,0,19.2,66.5,19.2,66.5,19.2,66.5,0.8,33.4,0,0,0,0,10.0,6.0,8.0,12.9,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 03:00",19.4,67.0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.8,6.1,73,ENE,1005.0,29.68,0.0,0.0,0.0,29,0,19.4,67.0,19.4,67.0,19.4,67.0,0.9,33.5,0,0,0,0,10.0,6.0,8.0,12.9,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 02:00",19.8,67.7,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.6,5.8,71,ENE,1005.0,29.68,0.0,0.0,0.0,28,0,19.8,67.7,19.8,67.7,19.8,67.7,0.8,33.5,0,0,0,0,10.0,6.0,7.5,12.1,0.0
Kathmandu,"",Nepal,27.7167,85.3167,Asia/Kathmandu,1745491708,"2025-04-24 16:33","2025-04-24 01:00",20.3,68.6,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.4,5.4,66,ENE,1005.0,29.69,0.0,0.0,0.0,27,0,20.3,68.6,20.3,68.6,20.3,68.6,0.8,33.4,0,0,0,0,10.0,6.0,7.0,11.3,0.0
